key,chinese,translation
menu.videos,動画,
menu.banners,バナー管理,
menu.announcements,お知らせ管理,
menu.actors,俳優管理,
menu.directors,監督管理,
menu.media,メディア管理,
menu.statistics,データ統計,
menu.settings,設定,
menu.logs,操作ログ,
menu.aiManagement,AI管理,
menu.roles,ロール管理,
menu.emailManagement,メール管理,
menu.oauthSettings,OAuth 設定,
menu.searchPlaceholder,メニューを検索...,
menu.groupOverview,概要,
menu.groupDataAnalytics,データ分析,
menu.groupSystem,システム管理,
menu.groupPayment,💳 支払い管理,
menu.subscriptions,サブスクリプション管理,
menu.payments,支払い履歴,
breadcrumb.videos,動画,
breadcrumb.videosNew,新しい動画,
breadcrumb.videosEdit,動画を編集,
breadcrumb.banners,バナー管理,
breadcrumb.announcements,お知らせ管理,
breadcrumb.actors,俳優管理,
breadcrumb.directors,監督管理,
breadcrumb.media,メディア管理,
breadcrumb.statistics,データ統計,
breadcrumb.settings,設定,
breadcrumb.logs,操作ログ,
breadcrumb.seriesEdit,シリーズを編集,
breadcrumb.aiManagement,AI管理,
common.edit,編集,
common.delete,削除,
common.confirm,確認,
common.save,保存,
common.submit,送信,
common.search,検索,
common.add,追加,
common.create,作成,
common.update,更新,
common.view,表示,
common.back,戻る,
common.next,次へ,
common.previous,前へ,
common.loading,読み込み...,
common.total,合計,
common.items,件,
common.adminPanel,管理パネル,
common.inactive,非アクティブ,
common.close,閉じる,
common.pinned,ピン留め,
common.unpinned,ピン留め解除,
common.confirmDelete,削除を確認?,
common.createSuccess,作成に成功しました,
common.createdAt,作成日時,
common.days,日,
common.deleteSuccess,削除に成功しました,
common.description,説明,
common.exportFailed,エクスポートに失敗しました,
common.operationFailed,操作が失敗しました,
common.refresh,更新,
common.refreshed,更新に成功しました,
common.required,必須,
common.updateSuccess,更新に成功しました,
common.videos,動画,
common.autoRefresh,自動更新,
common.autoRefreshOn,自動更新: ON,
common.autoRefreshOff,自動更新: OFF,
common.collapse,折りたたむ,
common.expand,展開,
common.startDate,開始日,
common.endDate,終了日,
common.descending,降順,
common.ascending,昇順,
common.selected,選択済み,
common.detail,詳細,
common.time,時間,
common.totalItems,合計 {{total}} 項目,
common.success,成功,
common.failed,失敗,
common.completion,完了,
settings.title,設定,
settings.searchPlaceholder,設定を検索...,
settings.groups.basic,基本設定,
settings.groups.features,機能設定,
settings.groups.advanced,詳細設定,
settings.sections.siteInfo,サイト情報,
settings.sections.seo,SEO 設定,
settings.sections.locale,地域と言語,
settings.sections.video,動画設定,
settings.sections.comment,コメント設定,
settings.sections.user,ユーザー設定,
settings.sections.upload,アップロード設定,
settings.sections.security,セキュリティ設定,
settings.sections.cache,キャッシュ管理,
settings.sections.backup,バックアップと復元,
settings.sections.other,その他の設定,
settings.email.testEmail,テストメールを送信,
settings.email.testEmailDesc,テストメールを送信してSMTP設定を確認します,
settings.email.enterEmail,メールアドレスを入力してください,
settings.email.sendTest,テスト送信,
settings.email.testSuccess,テストメールが正常に送信されました,
settings.email.testFailed,テストメールの送信に失敗しました,
settings.email.lastTest,最後のテスト,
settings.email.success,成功,
settings.email.failed,失敗,
settings.cache.title,キャッシュ管理,
settings.cache.description,Redisキャッシュを管理し、統計情報を表示します,
settings.cache.cacheStats,キャッシュ統計,
settings.cache.hitRate,ヒット率,
settings.cache.totalHits,合計ヒット数,
settings.cache.totalMisses,合計ミス数,
settings.cache.clearVideos,動画キャッシュをクリア,
settings.cache.clearSettings,設定キャッシュをクリア,
settings.cache.clearSuccess,キャッシュを正常にクリアしました,
settings.cache.clearFailed,キャッシュのクリアに失敗しました,
settings.cache.selectPattern,クリアするキャッシュパターンを選択,
settings.backup.title,バックアップと復元,
settings.backup.backupSuccess,バックアップの作成に成功しました,
settings.backup.backupFailed,バックアップの作成に失敗しました,
settings.backup.restoreSuccess,設定の復元に成功しました,
settings.backup.restoreFailed,設定の復元に失敗しました,
settings.backup.confirmRestore,設定を復元しますか？現在の設定が上書きされます。,
settings.backup.selectFile,バックアップファイルを選択,
settings.backup.backupTime,バックアップ時刻,
settings.actions.saveAll,すべての設定を保存,
settings.actions.confirmReset,すべての設定をデフォルトにリセットしますか？この操作は元に戻せません。,
settings.payment.enableGateway,ゲートウェイを有効化,
settings.payment.environment,環境,
settings.payment.testConnection,接続をテスト,
settings.payment.testSuccess,接続テスト成功！,
settings.payment.testFailed,接続テスト失敗,
settings.payment.privateKey,秘密鍵,
settings.payment.publicKey,公開鍵（Alipay）,
dashboard.title,データ概要,
dashboard.totalUsers,合計ユーザー,
dashboard.totalVideos,合計動画,
dashboard.totalComments,合計コメント,
dashboard.totalViews,合計表示数,
dashboard.recentVideos,最近の動画,
dashboard.videoTypes,動画タイプ分布,
dashboard.topVideos,トップ10人気動画,
dashboard.editMode,編集モード,
dashboard.doneEditing,編集完了,
dashboard.saveLayout,レイアウトを保存,
dashboard.layoutSaved,レイアウトの保存に成功しました,
dashboard.layoutReset,レイアウトをデフォルトに復元しました,
dashboard.saveFailed,レイアウトの保存に失敗しました,
video.views,表示数,
video.createdAt,作成日時,
video.movie,映画,
video.draft,下書き,
video.published,公開済み,
video.archived,アーカイブ済み,
video.batchPublish,一括公開,
video.batchArchive,一括非公開,
video.batchDelete,一括削除,
video.confirmDelete,削除を確認?,
video.deleteWarning,この操作は元に戻せません,
video.favorites,お気に入り,
video.id,動画ID,
video.likes,いいね数,
video.rating,評価,
user.vipExpired,VIP(期限切れ),
user.createdAt,登録時刻,
user.lastLogin,最終ログイン,
user.banned,禁止済み,
user.ban,禁止,
user.unban,禁止解除,
user.batchBan,一括禁止,
user.batchUnban,一括禁止解除,
user.confirmBan,禁止を確認?,
user.grantVip,VIPを付与,
user.vipExpiryDate,VIP有効期限,
user.batchGrantVip,一括VIP付与,
user.batchRemoveVip,一括VIP削除,
user.totalUsers,合計ユーザー,
comment.video,動画,
comment.createdAt,作成日時,
comment.pending,保留中,
comment.approved,承認済み,
comment.rejected,拒否済み,
comment.approve,承認,
comment.reject,拒否,
comment.batchApprove,一括承認,
comment.batchReject,一括拒否,
comment.batchDelete,一括削除,
banner.sortOrder,並び替え順序,
banner.inactive,非アクティブ,
banner.batchEnable,一括有効,
banner.batchDisable,一括無効,
table.name,名前,
table.description,説明,
table.createdAt,作成日時,
table.updatedAt,更新日時,
form.required,このフィールドは必須です,
form.pleaseInput,入力してください,
form.pleaseSelect,選択してください,
message.success,アクションに成功しました,
message.failed,操作が失敗しました,
message.deleteSuccess,削除に成功しました,
message.deleteConfirm,削除しますか？,
message.deleteFailed,削除に失敗しました,
message.saveSuccess,保存に成功しました,
message.createSuccess,作成に成功しました,
message.updateSuccess,更新に成功しました,
message.pleaseSelect,先に選択してください,
message.confirmOperation,選択した{{count}}個の{{type}}を{{action}}しますか？,
message.cannotUndo,この操作は元に戻せません,
message.adjustSearchFilter,検索条件またはフィルター条件を調整してください,
message.createFirst,最初の{{type}}を作成して始めましょう,
message.twoFactorEnabled,2FAが正常に有効化されました！,
message.twoFactorSetupInit,2FA設定が初期化されました,
message.twoFactorDisabled,2FAが無効化されました,
message.profileUpdated,プロフィール更新しました,
message.passwordChanged,パスワードの変更に成功しました。再ログインすることをお勧めします,
message.emailChanged,メールの変更に成功しました,
message.deleted,削除に成功しました,
message.added,追加に成功しました,
message.copyFailed,コピーに失敗しました,
message.testSuccess,テスト成功,
message.testFailed,テスト失敗,
message.completed,完了,
message.bannerDeleted,バナーが削除されました,
message.announcementDeleted,お知らせが削除されました,
message.errorReportCopied,完全なエラーレポートがクリップボードにコピーされました,
message.recyclebinCleared,ゴミ箱がクリアされました,
message.imageUploaded,画像アップロード成功,
message.historyCleared,履歴がクリアされました,
message.transcodingStarted,開始トランスコード,
message.serverError,サーバーエラー、後で再試行してください,
message.sessionExpired,ログインが期限切れです。再ログインしてください,
message.passwordMismatch,2回入力したパスワードが一致しません,
message.nameRequired,名前を空にすることはできません,
message.loadFileListFailed,ファイルリストの読み込みに失敗しました,
message.loadFolderTreeFailed,フォルダツリーの読み込みに失敗しました,
message.loadRecyclebinFailed,ゴミ箱の読み込みに失敗しました,
message.exportBackupFailed,バックアップのエクスポートに失敗しました,
message.confirmDeleteSelected,選択した{{count}}項目を削除しますか？,
message.confirmDelete,削除しますか？,
message.loadFailed,失敗しました load data,
ai.title,AI管理,
ai.subtitle,AIプロバイダー設定を管理し、AI機能をテストする,
ai.name,名前,
ai.enabled,有効,
ai.disabled,無効,
ai.usage,使用状況,
ai.requests,リクエスト数,
ai.tokens,トークン数,
ai.lastTest,最後のテスト,
ai.addProvider,プロバイダーを追加,
ai.editProvider,プロバイダーを編集,
ai.deleteProvider,プロバイダーを削除,
ai.deleteConfirm,このプロバイダーを削除してもよろしいですか？,
ai.deleteSuccess,削除しました,
ai.deleteFailed,プロバイダーの削除に失敗しました,
ai.createSuccess,作成しました,
ai.createFailed,プロバイダーの作成に失敗しました,
ai.updateSuccess,更新しました,
ai.updateFailed,プロバイダーの更新に失敗しました,
ai.testSuccess,接続テスト成功,
ai.testFailed,接続テスト失敗,
ai.connectionTest,接続テスト,
ai.connectionSuccess,接続成功,
ai.connectionFailed,接続失敗,
ai.thinking,AIが考え中...,
ai.send,送信,
ai.chatSuccess,チャットに成功しました,
ai.chatFailed,チャットに失敗しました,
ai.basicInfo,基本情報,
ai.apiConfig,API設定,
ai.settings,設定,
ai.nameRequired,名前を入力してください,
ai.namePlaceholder,例: GPT-4 本番環境,
ai.descriptionPlaceholder,このプロバイダー設定の説明を追加,
ai.description,説明,
ai.apiKeyRequired,APIキーを入力してください,
ai.apiKeyPlaceholder,APIキーを入力してください（暗号化して保存されます）,
ai.modelRequired,モデルを選択してください,
ai.modelPlaceholder,AIモデルを選択,
ai.maxTokens,最大トークン数,
ai.temperature,温度,
ai.frequencyPenalty,周波数ペナルティ,
ai.presencePenalty,存在ペナルティ,
ai.setAsDefault,デフォルトに設定,
ai.totalRequests,合計リクエスト数,
ai.totalTokens,合計トークン数,
ai.costMonitoring,コスト監視,
ai.quotaManagement,クォータ管理,
ai.templateManagement,テンプレート管理,
ai.logDetail,ログ詳細,
ai.usageStats,使用統計,
ai.completionTokens,完了トークン,
ai.estimatedCost,推定コスト,
ai.confirmDeleteLog,このログを削除しますか？,
ai.selectProvider,選択プロバイダー,
ai.modelName,モデル名,
ai.totalCost,合計コスト,
ai.successRate,成功率,
ai.todayCost,今日のコスト,
ai.monthCost,今月のコスト,
ai.projectedMonthlyCost,予測月間コスト,
ai.costByModel,モデル別ののコスト統計,
ai.costByProvider,プロバイダー別ののコスト統計,
ai.avgResponseTime,平均応答時間,
ai.dailyRequests,毎日リクエスト,
ai.monthlyRequests,毎月リクエスト,
ai.dailyCost,毎日コスト,
ai.rateLimit,レート制限,
ai.createQuota,クォータを作成,
ai.editQuota,クォータを編集,
ai.confirmDeleteQuota,このクォータを削除しますか？,
ai.targetIdPlaceholder,グローバルクォータは空白のまま,
ai.dailyRequestLimit,毎日リクエスト制限,
ai.monthlyRequestLimit,毎月リクエスト制限,
ai.dailyTokenLimit,1日のトークン制限,
ai.monthlyTokenLimit,1ヶ月のトークン制限,
ai.dailyCostLimit,毎日コスト制限,
ai.monthlyCostLimit,毎月コスト制限,
ai.rateLimitPerMinute,分あたりのレート制限,
ai.rateLimitPerHour,時間あたりのレート制限,
ai.quotaLimited,クォータ制限付き,
ai.dailyRemainingRequests,毎日残りリクエスト,
ai.monthlyRemainingRequests,毎月残りリクエスト,
ai.dailyRemainingCost,毎日残りコスト,
ai.variables,変数,
ai.recommendedModel,推奨モデル,
ai.usageCount,使用回数,
ai.createTemplate,テンプレートを作成,
ai.editTemplate,テンプレートを編集,
ai.confirmDeleteTemplate,このテンプレートを削除しますか？,
ai.summarization,要約とまとめ,
ai.translation,翻訳,
ai.analysis,分析,
ai.templateDetail,テンプレート詳細,
ai.templateNamePlaceholder,例: 動画説明ジェネレーター,
ai.templateDescriptionPlaceholder,このテンプレートの用途を説明,
ai.promptTemplatePlaceholder,{変数}を含むプロンプトテンプレートを入力,
ai.variablesTooltip,"カンマ区切りの変数名（例: title, description）",
ai.exampleVariables,サンプル変数,
ai.exampleVariablesTooltip,変数のサンプル値を含むJSONオブジェクト,
ai.recommendedProvider,推奨プロバイダー,
ai.recommendedParams,推奨パラメータ,
ai.recommendedParamsTooltip,推奨モデルパラメータを含むJSONオブジェクト,
ai.invalidExampleVariablesJson,無効なサンプル変数のJSONフォーマット,
ai.invalidRecommendedParamsJson,無効な推奨パラメータのJSONフォーマット,
aiManagement.costMonitoring,コスト監視,
aiManagement.quotaManagement,クォータ管理,
aiManagement.templateManagement,テンプレート管理,
aiManagement.confirmDeleteLog,このログを削除しますか？,
aiManagement.tokens,トークン数,
aiManagement.responseTime,応答時間,
aiManagement.totalRequests,合計リクエスト数,
aiManagement.totalTokens,合計トークン数,
aiManagement.totalCost,合計コスト,
aiManagement.successRate,成功率,
aiManagement.selectProvider,選択プロバイダー,
aiManagement.modelName,モデル名,
aiManagement.logDetail,ログ詳細,
aiManagement.basicInfo,基本情報,
aiManagement.usageStats,使用統計,
